h,2009,2010,2011,2012,2013,2014,2015,2016,2017
74.0,46409.50660210332,46637.01186703663,53194.61200638466,47333.24751264254,41695.712039551494,45211.325841395825,43374.13091050282,45016.65144400981,54789.32404538523
75.0,45538.103110456344,47032.085269266354,53772.98959090064,48839.701315656625,43053.01050594394,45583.59457610788,43486.18507805385,46393.93782293511,55809.653134454835
76.0,44187.37384157463,48110.441358958975,55387.71660194709,51565.61216306757,45932.470646793125,45577.49180996505,43102.14488562896,49442.83760293879,58414.90763907712
77.0,41665.79711234648,52021.236266823194,60021.187585708896,57112.35496482512,51672.19452755251,46041.30203681942,42243.40249248788,55958.02774836876,64477.113942335876
78.0,42373.47584412901,57810.24898856645,66524.17273206044,64161.08469397625,57689.701621899694,48971.64691306377,43740.853640669826,62496.80507675874,70639.64549075419
79.0,44713.01649166576,61373.46565731053,69868.65724029315,67337.0332601527,61658.83981605063,52404.452868400345,46068.52430297986,66403.04768087377,73910.88885686125
80.0,47707.45617866031,63599.26171030971,71986.50824679216,68553.1401478342,63830.29152226749,56074.24957561646,49351.71141222504,68073.63555225823,75153.21423309245
81.0,50310.895287820684,65115.86862324077,72701.41734289462,69696.66030668255,65904.63202373414,58437.037200578496,52297.71734456667,69403.74756526353,76613.26673711673
82.0,53259.01810195884,66379.88762327086,73361.49882410803,71385.13929123206,67929.28772277046,60032.910546926076,55575.811082559536,70754.37017214709,77962.32109756024
83.0,53939.768419289976,66851.60094779106,73490.50497678817,71151.74504006086,67697.80171144729,59865.08447799851,55747.967030887936,71142.02039644624,77865.19772192703
84.0,52653.6673450916,66137.01463009685,72413.30360190898,69971.37315734338,65248.566791642625,58583.50358800619,54101.78944213826,70276.47333478359,76943.05929833275
85.0,51488.20556763544,65483.95613734005,71014.66189660176,68763.08330199776,63112.12028713805,57381.25865787054,52504.50821741085,69128.90560729482,75839.48160157754
86.0,51431.1173289985,65047.864185152044,70486.8117218855,68042.79960819193,62322.8094485288,57396.51557322759,52167.32704050729,68655.11088870696,75134.00301593423
87.0,53865.44599540414,66222.29003658905,71379.10427792316,69602.85591865201,62978.87468062033,59729.80649516599,54181.24603367444,69808.83179435921,75819.20309457721
88.0,57931.63657756401,70361.92527579945,75335.29296011421,73850.85463374881,64979.8171784967,63269.410858001924,59150.339027437396,73010.53549875593,78501.30246783236
89.0,58416.34803768902,70109.33736289848,75221.33752524675,73388.53300702691,64296.651145079544,63478.93916223877,60258.656611942126,72899.77829181332,77743.52667992502
90.0,57097.93286614898,68983.48611009627,73471.15405388614,71147.27816444036,61750.30502052467,61138.52834646707,58906.87588157652,70985.11435327755,75663.37877762725
91.0,54950.12252950612,65789.4363909767,69834.25559957845,66603.34893948537,57372.39640637867,57082.22311687232,56378.526391925094,66959.91030466859,71469.9969879259
92.0,54172.42992014999,63907.980270522006,67229.40636671189,62970.66234111264,54646.507473041434,54553.64367836367,54760.87168218841,63694.623759249254,68291.60783808355
93.0,55050.296231265296,62981.8245898851,66389.79132301862,61155.99412028397,52881.567786709165,53500.916518727114,54557.136832095624,61225.148256306486,65939.30102604441
94.0,52241.1240356963,59963.72286137603,62221.81754017767,55726.50680356458,48889.84559145353,50109.81279869981,51433.88158017328,56942.536254525345,61750.188395711564
95.0,49632.299243645655,57530.67518753503,58879.48313448963,51749.87078241325,44667.76658492995,46396.27960079348,48437.96060955892,53655.713585533835,58317.78426344393
96.0,47467.25472175391,55227.15977672017,56607.89979604678,49513.082815447204,42219.66086518052,43617.486750429176,46387.36934337507,51311.352705248464,56135.17653630236
97.0,46233.933339880256,53670.613749356045,55111.42842495712,48551.587838134285,40953.827603262114,42229.1074529375,45565.29922325069,50272.49112531449,55205.56708381321
