,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
44,0.263909,0.180732,0.869215,0.065235,0.023228,0.708134,0.647289,0.17843699999999998,0.39819,0.257791,0.016552,0.1793,0.509165,0.273533,0.21392600000000006,0.381887,0.121166,0.372047,0.115034,0.76857,0.042605,0.358846,0.331408,0.057423,0.078698,0.167223,0.28076100000000004,0.302234,0.307988,0.7246229999999999
45,0.266903,0.147063,0.840463,0.071648,0.020834,0.708123,0.647199,0.172146,0.381477,0.242972,0.016686000000000003,0.186793,0.522117,0.2543,0.210063,0.362703,0.122015,0.369701,0.09123,0.766684,0.040131,0.36227,0.317597,0.062622,0.072064,0.158588,0.278964,0.310533,0.287962,0.7285
46,0.267633,0.115367,0.813525,0.078557,0.018162,0.708849,0.644072,0.166199,0.372921,0.229542,0.02121,0.20188,0.528504,0.240693,0.214109,0.350608,0.119866,0.375978,0.069648,0.759156,0.040022,0.35979,0.32277100000000003,0.074668,0.06877,0.150589,0.276014,0.32970700000000003,0.264894,0.731909
47,0.267934,0.08866900000000001,0.793871,0.081276,0.018071,0.7137479999999999,0.6414770000000001,0.159159,0.360037,0.216461,0.027848,0.220602,0.54285,0.233297,0.21674,0.352733,0.115979,0.388545,0.055705,0.7470680000000001,0.04167,0.346335,0.321633,0.089906,0.070596,0.146362,0.277727,0.352208,0.238947,0.729421
48,0.262514,0.072251,0.7874800000000001,0.083513,0.020171,0.7152810000000001,0.633314,0.152088,0.344949,0.197015,0.033432,0.234869,0.543891,0.226671,0.219773,0.347202,0.111768,0.389695,0.051467999999999986,0.733714,0.044005,0.340501,0.32868200000000003,0.093917,0.075727,0.139714,0.274523,0.389245,0.217258,0.712959
49,0.240222,0.062876,0.787324,0.085099,0.022299,0.7168770000000001,0.634945,0.145276,0.309517,0.169457,0.037552,0.25519000000000003,0.55775,0.228959,0.236931,0.346573,0.107396,0.38674,0.050856,0.722961,0.044962,0.336145,0.34354,0.094506,0.078952,0.131754,0.284411,0.437762,0.208461,0.678413
50,0.22838000000000006,0.061187,0.7917649999999999,0.086123,0.023824,0.7207060000000001,0.638612,0.138493,0.275919,0.15723299999999998,0.040347,0.276098,0.565207,0.226227,0.259618,0.362811,0.102218,0.373895,0.047054,0.713488,0.043345,0.330217,0.365355,0.102573,0.081466,0.126126,0.296343,0.448203,0.20541,0.629278
51,0.224742,0.068953,0.803194,0.080336,0.027764,0.704503,0.628551,0.133524,0.248197,0.14742,0.042916,0.283955,0.5740689999999999,0.225461,0.279964,0.366502,0.10152,0.360751,0.043287,0.699477,0.038837,0.318837,0.391941,0.106037,0.085115,0.121511,0.304309,0.472174,0.202521,0.5751109999999999
52,0.224896,0.08138200000000001,0.82201,0.075722,0.03744,0.6803779999999999,0.613043,0.130916,0.231882,0.143473,0.044116,0.285691,0.562695,0.219898,0.29477,0.372984,0.102786,0.343291,0.039107,0.680003,0.032143,0.307733,0.427389,0.115949,0.08895299999999999,0.118603,0.330158,0.5247729999999999,0.214487,0.51377
53,0.22777,0.095545,0.8392280000000001,0.077896,0.051938,0.634329,0.6012930000000001,0.131023,0.202518,0.137946,0.043437,0.280127,0.5623600000000001,0.225593,0.324278,0.377868,0.107322,0.31416900000000003,0.03265,0.66804,0.026479000000000003,0.293829,0.464452,0.129853,0.093006,0.114333,0.387232,0.569762,0.239251,0.496794
